account_id,queue,status,month
26686,PAYING,PAY PROP,2024-11-01
48388,OTHER,ARCHIVED,2024-11-01
81634,COLLECTIONS,CANCEL2,2024-11-01
39776,INSOLVENCY,INS4,2024-11-01
70437,LEGAL,LEG VERIF 2,2024-11-01
25635,INSOLVENCY,INSP,2024-11-01
72278,INSOLVENCY,INS1,2024-11-01
43314,INSOLVENCY,INSP,2024-11-01
77262,LEGAL,LEG VERIF 2,2024-11-01
68484,OTHER,ARCHIVED,2024-11-01
54341,LEGAL,HOLD FO,2024-11-01
25733,PAYING,PAY CURR,2024-11-01
83776,PAYING,PAY PROP,2024-11-01
10506,OTHER,ARCHIVED,2024-11-01
54275,COLLECTIONS,CANCEL4,2024-11-01
78353,OTHER,ARCHIVED,2024-11-01
91558,SETTLED,SETTLED,2024-11-01
85922,OTHER,ARCHIVED,2024-11-01
44476,TRACE,GONEAWAY,2024-11-01
15757,SETTLED,SETTLED,2024-11-01
55044,LEGAL,HOLD FO,2024-11-01
26918,INSOLVENCY,INS4,2024-11-01
11916,COLLECTIONS,TELSOLUTIONS1,2024-11-01
91710,PAYING,PAY PROP,2024-11-01
15004,INSOLVENCY,INS4,2024-11-01
40659,OTHER,ARCHIVED,2024-11-01
98254,SETTLED,SETTLED,2024-11-01
43882,INSOLVENCY,INS4,2024-11-01
54718,SETTLED,SETTLED,2024-11-01
61582,OTHER,ARCHIVED,2024-11-01
60011,COLLECTIONS,PAY OVER,2024-11-01
94400,INSOLVENCY,INS1,2024-11-01
92221,INSOLVENCY,INSP,2024-11-01
46992,SETTLED,SETTLED,2024-11-01
91142,COLLECTIONS,TELSOLUTIONS1,2024-11-01
26686,LEGAL,LEG_NOT,2024-12-01
48388,OTHER,ARCHIVED,2024-12-01
81634,OTHER,ARCHIVED,2024-12-01
39776,LEGAL,LEG VERIF 2,2024-12-01
70437,LEGAL,LEG VERIF 2,2024-12-01
25635,COLLECTIONS,TELSOLUTIONS4,2024-12-01
72278,LEGAL,HOLD FO,2024-12-01
43314,SETTLED,SETTLED,2024-12-01
77262,PAYING,PAY CURR,2024-12-01
68484,OTHER,ARCHIVED,2024-12-01
54341,LEGAL,HOLD FO,2024-12-01
25733,PAYING,PAY CURR,2024-12-01
83776,PAYING,PAY PROP,2024-12-01
10506,OTHER,ARCHIVED,2024-12-01
54275,TRACE,GONEAWAY,2024-12-01
78353,LEGAL,LEG_TIT,2024-12-01
91558,SETTLED,SETTLED,2024-12-01
85922,OTHER,ARCHIVED,2024-12-01
